id,Q01,Q02,Q03,Q04,Q05,Q06->Problem Understanding,Q06->Conceptual Understanding,Q06->Code Generation,Q06->Debugging,Q06->Runtime Analysis,Q06->Syntax,Q06->Documentation,Q06->Test Cases,Q6Add,Q7->1: Very Difficult ... 5: Very Easy,Q8->1: Not helped at all ... 5: Helped very well,Q9->1: Inadequate ... 5: Highly Adequate,Q10->1: Very Dissatisfied ... 5: Very Satisfied,Q11->1: Unlikely ... 5: Very Likely,Q12,Q13,Q14
95,1 : None,1 : Yes,5 : Rarely,2 : 15-30 minutes,1 : Web Interface,1,1,1,0,1,0,1,0,,5,4,3,4,4,"Insbesondere zum einsteigen kann es sehr hilfreich sein.  1) Besondern nützlich finde ich, dass ich ChatGPT darum bitten kann die Aufgabenstellung mit wiederzugeben auf eine Art-und-Weise die einfacher ist, zum Beispiel indem ich sagen, es soll es mir so erklären als ob ich keine Ahnung vom Programmieren habe oder als ob ich 14 Jahre als wäre.  2) Besonders wertvoll finde ich, dass es einem einen Anfangspunkt ausgibt, wenn man gar keine Ahnung hat wie man starten soll.  3) Es unterstützt mich bei der Fehlerbehebung, wenn ich z.B. mal in einem Loop feststecke und ich weiß zwar wo, aber nicht wie ich da raus komme, kann ChatGPT mir helfen.","1) Wenn man nur die Aufgabenstellung Copy-Pasted, dann kommt meistens nicht die korrekte Lösung bzw. es fehlt sehr viel. Man muss also recht viel zusätzliche Informationen angeben, damit ChatGPT die Aufgabe in einen Kontext anordnen kann.  2) Chat GPT kann die Aufgaben auch missverstehen, also muss man sehr auf die Deutlichkeit achten.  3) ChatGPT schaut selbst nicht nach potenziellen Fehlern, diese muss man selbst finden und beheben.",ne :)
96,2 : Limited (<1 Year),1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,,5,4,3,3,4,"Formlose Eingabe  Schnelle Antworten  Möglichkeit auf den bereits erfolgten ""Dialog"" zu referenzieren",Häufig fehlerhafte Ergebnisse  Fehler Korrektur nur mühsam  Verschiedene Ausgabe zu gleicher Eingabe,
97,2 : Limited (<1 Year),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,1,0,1,1,1,,5,3,3,5,5,"Chat kann sehr langsam Probleme gut erklären ohne die Geduld zu verlieren haha.    Beispiele die Chat gibt sind oft ebenso sehr hilfreich um etwas schwieriges zu verstehen.    Man kann so ziemlich über alles reden, um neue Informationen aufsaugen.","Ich finde es schade das Chat sich manchmal ""unsicher"" fühlt. Wenn Chat eine Antwort parat hat dann ist es manchmal so, das man nachhakt und eine andere Antwort kommt.    Es drückt sich sehr fachlich/präzise aus. Man merkt das es eine Maschine ist.    Es ist schwierig Chat zu beschreiben was genau das Problem ist, manchmal bleibt er hängen und macht immer das Selbe.","Yea, Ich finde es macht Spaß mit Chat zu arbeiten und kann es kaum erwarten was in der Zukunft noch damit passiert. Bzw. Was damit möglich ist. Ist es jetzt schon ziemlich herausragend. "
98,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,1,0,0,,4,4,3,3,4,"Sehr schnelle Antworten  Kostenlos  Findet/Erkennt Probleme, die man selbst nicht im Blick hatte",Manchmal schlechte Antworten/ungenau  Manchmal auch ganz falsche Antworten  Overconfident,
99,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,0,1,0,1,0,1,"code Engineering -&gt; Um mein bestandenen code zu verbessern und daraus zu lernen.  Man kann chatGPT auch fragen, warum er es so umgeändert hat, dadurch bekommt man ein besseres Verständnis bezüglich Engineering und kann das erlernte wissen für nächste Projekte nutzen.",5,3,2,3,5,"1. Wenn man bei Errors einfach nicht weiter kommt, dann kann ChatGPT gut weiter helfen und das Problem lösen. -&gt; Man lernt dadurch auch viel bezüglich der Syntax etc.  2. Bei der Dokumentation finde ich es auch sehr praktisch, da ich ChatGPT Fragen kann, ob man die Dokumentation irgendwie kürzer und kompakter formulieren kann.   Dadurch sieht alles einfach übersichtlicher aus und macht es mir auch einfach zukünftige Dokumentation besser zu Formulieren, da ich dazu neige alles zu ausführlich und ""unnötig"" zu formulieren. Das ist auch für andere Programmierer ein Vorteil, wenn sie meine Dokumentation lesen.  3. Für code Engineering ist ChatGPT stark von Vorteil, da andere Quellen da garnicht so stark helfen können wie ChatGPT (bzw. auch andere openAI Modelle).  Er kann mein bestandenen Code verbessern und auch erläutern, warum er diese Änderungen so vorgenommen hat. Dadurch kann ich viel lerne und das Wissen für zukünftige Programmierprojekte nutzen.  ",- Manchmal hat ChatGPT Verständnis Probleme und gibt dir falsche Informationen beziehungsweise nicht die Informationen die du benötigst aus.  - Manchmal funktionieren die Codes auch von ChatGPT nicht und er gibt Errors aus. Wichtig hierbei ist es mit ChatGPT zu denken und nicht nur ChatGPT die ganze Aufgaben erledigen zu lassen.  - Manchmal gibt ChatGPT auch nach Verbesserung die selbe falsche Antwort raus. Hier liegt meistens wieder ein Verständnis Problem vor. Es kann sehr frustrierend werden und dann hilft meistens ChatGPT auch garnicht mehr richtig. Ich Wechsel dann meistens zu einer anderen Alternative zu ChatGPT.,"Ja, man sollte aufpassen wie viel man mit ChatGPT macht. Man soll ChatGPT als Helfer und nicht als Macher/Arbeiter sehen.  Wenn man ChatGPT alles machen lässt, dann kann es schnell nach hinten los gehen.  Man lernt nichts dazu und ab irgendeinem Punkt ist man dann nur noch auf ChatGPT angewiesen."
100,2 : Limited (<1 Year),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,1,0,0,Auch viel zur Grammatikverbesserung von Texten,4,5,4,4,5,"Code verständnis (runterbrechen des Codes)  Syntax Probleme erkennt er auch super schnell  und am besten Ansätze, oft probier ich selber zu programmieren merke ich habe keinen Ansatz  und geb ihm dann mein Problem und sag ihm er soll mir eine Lösung geben, die stimmt auch sehr häufig nicht aber ich hab dann meistens einen Ansatz und kann selber weiter programmieren.",Sehr oft wiederholt er sich obwohl ich ihm sage das dass gesagte falsch ist.  Over confidence (er denkt immer er sei richtig)  Manchmal macht die Seite bei mir extrem probleme und nichts lädt,Nein
101,1 : None,1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,1,1,1,,5,4,3,4,5,1. Accelerates Code Debugging       2. Enables problem-solving and solution modification through interactive question-and-answer sessions.       3. Provides relatively accurate language translation.,"1. Answers are conservation, lacking originality    2. requiring personal judgment on information reliability    3. posing some information security risks.",Nope
102,4 : Advanced (3+ Years),1 : Yes,4 : Montly,1 : Less than 15 minutes,1 : Web Interface,0,1,1,0,0,0,0,0,,5,2,2,1,1,"- informationsreich, hat Zugriff auf jegliche Dokumentationen, APIs und StackOverflow-Seiten  - kann Code gut erklären und kommentieren  - sehr flexibel bei der Eingabe, d.h. unpräzise formulierte Fragen werden trotzdem richtig erkannt/vervollständigt","- oft unzuverlässig/fehlerhaft  - braucht sehr viele Korrekturen, um tatsächlich vollständig fehlerfrei zu sein  - bei komplexeren Problemen langsamer, als den Code selber zu schreiben","Sehr frustrierend, wenn man nicht innerhalb der ersten 5 Minuten auf das gewünschte Ergebnis kommt. Manchmal fühlt es sich wie Zeitverschwendung an, man könnte es ja selber programmieren und aus seinen eigenen Fehlern lernen, statt einer KI dabei zuzuschauen, wie sie dieselben Fehler immer und immer wieder begeht. Ich habe 20 Minuten gebraucht, um den Code selbst zu schreiben und knapp über einer Stunde damit verbracht, ChatGPT beizubringen, wie man rekursive Funktionen richtig zu schreiben hat."
103,3 : Moderate (1-2 Years),1 : Yes,5 : Rarely,2 : 15-30 minutes,1 : Web Interface,1,0,1,0,0,1,0,0,,5,4,3,3,3,"Chat GPT gibt sehr gute Antworten, wenn man genau erklärt was die Aufgabenstellung verlangt  Chat GPT kann einem komplexe Aufgaben schnell und einfach erklären  Chat GPT kann von jedem der eine Emailadresse hat benutzt werden","Chat GPT ist gibt oft falsche Antworten, wenn es nicht genausten erklärt bekommt, was die Aufgabenstellung verlangt  Chat GPT verschlimmbessert oft Code den man ihm gibt  Chat GPT wird schnell verunsichert",Nein
104,3 : Moderate (1-2 Years),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,0,1,1,0,0,0,0,0,"Ansatz für das Programm, sozusagen als Temlate wie man vorgehen soll.",4,3,2,3,4,Kann template/pseudo-code generieren.  Mit den richtigen Prompts kommt sehr weit voran.  Kann beim Syntax und Debugging helfen.  schneller als in einem Forum oder ähnlichem nach zu schauen.,Ziemlich unpräzise und ungenau.  Erstellter Code ist oft nicht ganz lauffähig.  Den richtigen Prompt zu finden kann sehr mühselig sein.,Nein.  Danke für die zwei Punkte.
105,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,1,0,0,,4,3,3,3,4,Wenn man eine Funktion hat die nicht das richtige Ergebnis liefert und man einfach chatgpt fragt und er direkt den Fehler findet.    Wenn man nicht weiter weiß und einen Ansatz braucht.    Wenn man nur etwas ähnliches sehen will und er ein Beispiel produziert.,"Wenn er etwas falsch macht und man ihm sagt, dass er etwas neu machen soll, macht er es sehr oft nicht.    Manchmal ist die Art wie er programmiert etwas unverständlich.    ",
106,1 : None,1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,1,1,0,0,,3,5,3,3,4,,,
107,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,1,0,1,0,1,0,1,,3,2,2,3,2,"ChatGPT kann zur Fehleranalyse und Korrektur hilfreich sein, besonders wenn man keine Ahnung hat, wo das Problem genau liegt.  Genauso kann es hilfreich sein, um eine Problemstellung besser zu verstehen und einen Lösungsansatz zu entwickeln","Die Antworten von ChatGPT sin äußerst inakkurat und können Probleme auch teils verschlimmern und nicht lösen. Außerdem muss man extrem spezifisch min dem Input sein, da jedlicher Interpretationsfreiraum zu schwer zu verbessernden Fahlinterpretationen führen können. ","GPT ist deutlich akkurater, wenn der Input so kurz und genau wie möglich gehalten wird. Die Ausgaben können dann äußerst hilfreich sein "
108,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,0,1,0,0,0,0,0,"Schreiben und Umformulierung von Texten (Mails, kurze Erklärungen)",5,2,3,2,2,"Code für einfache Beispiele, Gute Kommentierung im Code, Erklärung der einzelnen Schritte","Code wirft häufig Fehlermeldungen aus in der Anwendung oder die Ergebnisse stimmen nicht, Wenn man nach einem alternativen Code fragt, wird wenig verändert/verbessert, Verneinungen werden ignoriert",
109,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,0,0,,4,4,3,5,5,it helps in simplifying problems and describing them in an easier way    it helps in giving a hint to solve problems    it helps give a pathway to solve difficult problems.,"sometimes chatGPT may not be most accurate in all situations.    sometimes a person might get addicted to using ChatGPT    sometimes if a promt is not clear enough for chatGPT, it might end up giving an inaccurate solution. ",
110,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,1,1,1,,5,4,3,3,4,"1. Als Tutor ist ChatGTP in vielen Bereichen sehr gut, es hilft einem neue Themen und Konzepte ultraleicht zu lernen  2. beantwortet sehr detailliert Fragen, in Codingfragen kann ChatGTP für viele Programmiersprachen die Basisprinzipien gut erklären und Beispiele geben wie bspw. beim Erlernen von Datastruktures und deren Applikation.  3. ChatGTP hilft bei der Problemanalyse sehr und gibt einem mehrere Ansätze an bekannte Probleme ranzugehen","1. ChatGTP kann komplexere Probleme nicht richtig lösen und gibt falsche Antworten von denen es nicht weiß das diese Falsch sind  2. Beim Hinweisen auf falsche Antworten oder bei Verbesserungsvorschlägen antwortet GhatGTP kooperativ jedoch gibt es dieselbe Lösung wieder aus, das ist gefährliches Selbstvertrauen was dazu führt das wenn man die Falschheit der Lösung nicht bemerkt, es für Richtig hällt  3. ChatGTP besitzt in vielen Themen einen Bias(Geschichte, Politik; suggeriert das dessen Datenbanken nicht vollständig sind)",
111,1 : None,1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,0,0,,3,3,2,3,3,"Wenn man Fehler im Code hat oder nicht läuft, ChatGPT hilft bei der Korrektur.   Man kann genau fragen, was man nicht versteht.  ","Man bekommt sehr oft Fehler, wenn die Aufgabe Unklarheiten haben",
112,2 : Limited (<1 Year),2 : No,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,,4,3,5,5,5,"- schnelle Antworten, die beim Programmieren eines bestimmten Codes helfen  - kann Fehler im Code erkennen  - bietet mehrere Alternativen zum Erstellen eines bestimmten Codes","- Manchmal gibt chatgpt Code aus, der nicht funktioniert  -  -",
113,2 : Limited (<1 Year),2 : No,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,0,0,1,0,0,0,0,,4,3,4,4,4,"-einfache und schnelle erklärung einzelner codesegmente, wenn mal etwas findet das man noch nicht kennt.  -relativ gute und schnelle definitions-erklärungen.  -wenn man selber garnicht weiterkommt, und viel zeit hat möglichkeit zum debuggen","-Debugging Probleme, bzw. teils sehr lange Wege um die Fehler in code zu erkennen.   -man muss erstmal vestehen wie man dem Programm Fragen stellen muss um 'gute' Anworten zu erhalten.  -zu bestimmten Zeiten teils sehr lange Wartezeiten.",
114,1 : None,1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,0,1,1,0,0,0,0,0,,5,3,3,3,5,"- Verständnis von Code-Fragmenten und was sie machen/ wie sie funktionieren z.B. wenn man Code eingibt und fragt ""Was macht dieser Code""  - Debugging bzw. Problemverständnis ""Warum funktioniert das nicht""  ","- Einschätzen wann ChatGPT mit seinen Antworten falsch liegt, vor allem, weil es auch bei Nachfragen teilweise sehr enthusiastisch seine falschen Lösungen verteidigt    - Codegenerierung oft nutzlos, da Code oft überkompliziert und ineffizient ist",
115,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,4 : More than 60 minutes,1 : Web Interface,1,1,1,1,1,1,1,1,,4,5,2,4,5,Angepasste Antworten auf Probleme und Buggs. Konkrete Lösungen für Probleme. Erklärungen für Vorgänge der Lösung.,Unverlässliche Qualität der Antworten. Manchmal komplett Katastrophe. Zeilenlimit.,Hilft gut als Programmierneuling aber es fühlt sich an als würde man dem Wissensstand der eigenen Arbeit hinterher hinken.
116,4 : Advanced (3+ Years),1 : Yes,4 : Montly,3 : 30-60 minutes,1 : Web Interface,0,0,1,1,0,0,0,0,- Hilfe bei der Funktionsweise von built-in-Funktionen (insb. bei komplexen MATLAB-Funktionen),5,3,3,2,2,- Schnellere Antworten auf Fragen verglichen mit Foren  - Mehr auf den Anwendungsfall zugeschnittene Erklärungen von built-in-Funktionen als die offizielle Dokumentation  - Nachfragen möglich,"- Erfinden von built-in-Funktionen, die in der Programmiersprache nicht existieren  - Stimmt allen Aussagen des Nutzers zu, klärt einen also nicht selbständig auf Missverständnisse hin  - Drückt sich teilweise umständlich aus",
117,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,,4,4,2,3,4,"1: sehr hilfreich für Verständnis  2: benutzerfreundlich  3: Hilfreich, wenn man zu etwas zu einem bestimmten Thema wissen will und es einen kurzen Überblick über das entsprechende Thema gibt","1: Information sind meist nur teilweise richtig  2: Wenn man zum Beispiel Verbesserungsvorschläge gibt, akzeptiert es diese, aber gibt dennoch den selben Fehler wieder aus  3: Die Daten sind leider nicht mehr aktuell, ich glaube nur bis zum Summer 2022, wurden die Informationen für ChatGPT aktualisiert","Es war sehr hilfreich, wenn man zum Beispiel gar nicht mehr weiter kam und fragen hatte. Wichtig ist natürlich dabei, dass wenn man nach Hilfe, den Code versteht. Da es einem nicht wirklich etwas bringt, wenn man gar nichts davon versteht."
118,1 : None,2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,,4,1,2,3,1,Es kann sehr schwere Konzepte auf eine leicht verständlichen Art und Weise erklären.  Zeitsparend wenn man sich gut auskennt.  erweitert beim guten Gebrauch den Wissensstand.  ,"Gibt oftmals falsche Lösungen, sodass man es mehrmals korrigieren muss.   Kann damit sehr zeitaufwendig sein.  ist sich oftmals unsicher",
119,2 : Limited (<1 Year),2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,0,1,,2,1,1,1,3,"Man spart Zeit, wenn man eine schnelle Antwort braucht.  Manchmal hilft er einem, wenn man in der Klemme steckt.","Er braucht manchmal sehr lange, um die richtige Antwort zu geben.  Er versteht einem nicht immer. man muss ihn alles sehr genau fragen.  Er gibt oft die falsche Lösung an.",Nein
120,1 : None,2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,1,0,0,,3,5,4,5,5,verständnis von Kontext   gute Antworten  ist immer freundlich ,korigieren manchmal weil falsch verstehen   man muss immer die antwort lesen ein mit stimme fände ich besser  manchmal falsche antworten ,nein nicht wirklich 
121,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,0,1,0,0,0,0,,4,3,4,4,3,,,
122,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,0,0,0,0,,4,2,3,4,5,"-ChatGPT ist sehr gut dabei, kleine Fehler im Code zu erkennen und diese zu verbessern  -auch wenn das Programm nicht immer richtig ist, kann man das Prinzip sehen und dann sein eigenes, richitges Programm schreiben  -Chatgpt kann dabei helfen, die Aufgabenstellung zu verstehen, weil diese manchmal unverständlich gestellt werden","-Chatgpt schreibt falschen Code der einem garnichts bringt   -oft wird nicht verstanden was man möchte und bekommt immer wieder die gleichen stumpfen ergebnisse  -wenn der code richtig ist, ist es manchmal zu schwer, sodass man es nicht nachvollziehen kann","man sollte sich nicht 100% auf ChatGPT verlassen, aber man kann kleinere Stellen heraussuchen oder ganz konkrete, nicht so breit gefächerte Fragen stellen, auf die man dann auch wahrscheinlich richtige Antworten bekommt."
123,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,1,0,0,0,0,1,0,,3,5,3,4,3,,,
124,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,2 : 15-30 minutes,2 : API Integration (e.g. IDE Plugins like CodeGPT),1,1,1,1,1,1,1,1,,4,3,2,3,5,"It helped me understand deep first traversal through a graph.  It helps me when I get stuck or do not understand why my code is not working as intended.  It is especially helpful for syntax errors. I use it in JavaScript a lot if I have a lot of parenthesis or curly brackets opened, but not yet closed.","It gets confused a lot. If I tell him that his solution is wrong, he agrees even though that solution was the correct one.  It is not great for explaining complicated  code.  The code generated sometimes is completely wrong. Sometimes just by looking at it, it already makes no sense.   The Website is sometimes too slow.",
125,2 : Limited (<1 Year),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,1,1,1,1,das war alles,4,3,3,5,5,"1. ChatGPT ist flexibel und kann in verschiedenen Anwendungsbereichen genutzt werden.  2. ChatGPT unterstützt bei der Lösung von Problemen und fördert kreatives Denken.  3. Die Fähigkeit, natürliche Sprache zu verstehen, ermöglicht eine menschenähnliche Interaktion.","1. Neigung zu vagen oder generischen Antworten, besonders bei unklaren Eingaben.  2. ChatGPT kann den Kontext einer Konversation nicht immer präzise erfassen.  3. ChatGPT basiert auf vorherigen Daten und kann falsche oder veraltete Informationen liefern.","Für mich ist ChatGPT nützlich für schnelle Informationen und Ideengenerierung, aber die Genauigkeit kann variieren. Es erleichtert Studienaufgaben, erfordert jedoch kritisches Überprüfen der Antworten."
126,1 : None,2 : No,3 : Weekly,2 : 15-30 minutes,3 : Messaging App Integration (e.g. Chat Bots like MyAI),1,1,1,0,0,0,0,0,,4,3,3,4,3,,,
127,1 : None,1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,0,0,1,0,0,"Übersätzung,  Grammatik Fehler    Links zu Webseiten, auf denen ich weiter lernen kann (das macht Bing besser), liefern immer die Quelle. Persönlich benutze ich jedoch lieber, da ich dort direkt Zugriff auf die Quellinformationen habe",4,4,3,3,4," Es verkürzt meine Zeit bei der Suche nach Informationen im Netz und hilft mir, nicht so viel Zeit mit der Suche nach unnötigen Informationen zu verschwenden.     Interaktion in Echtzeit, hilft bei der Ermittlung von Fehlern und Korrekturen für einen ""sauberen"" Code.     Es macht Spaß, Fragen zu stellen und auch Wege zu finden, diese Fragen effektiver zu stellen, um eine genauere Antwort zu geben. "," ist immer noch sehr ungenau, und man kann viel Zeit verlieren, wenn man versucht, allein auf diese Weise die richtige Antwort zu finden.     Die Tatsache, dass viele Aufgaben im akademischen Umfeld mit diesen Mitteln gelöst werden können, wirft natürlich die Frage auf, wie die Universität und die Ausbildung selbst davon betroffen sind oder wie sie mit diesen neuen Mitteln Hand in Hand gehen können, so dass der Student sie nicht als einfachen Ausweg, sondern als ein weiteres Mittel zum Lernen betrachtet.     ","Wir leben in einer schnelllebigen Welt, und diese Werkzeuge fördern die Forderung nach Effektivität, Unmittelbarkeit, die Bedeutung des Ergebnisses und nicht des Prozesses. Wenn in den Übunsblättern selbst die Idee, wie der Code zustande gekommen ist, und der Versuch, ihn zu schreiben, qualifizierter wären und nicht das Ergebnis von ""der Code läuft gut"", wäre der Prozess der Durchführung der Übungen vielleicht freundlicher. "
128,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,2 : API Integration (e.g. IDE Plugins like CodeGPT),1,0,1,0,1,1,0,1,,3,4,2,2,2,"-ChatGPT ist in einer Vielzahl von Anwendungen einsetzbar, von Fragen beantworten bis zur Codegenerierung.  -Das Modell versteht den Kontext besser, was zu präziseren Antworten führt.  -ChatGPT kann kreativ eingesetzt werden, z. B. bei der Ideenfindung oder der Erstellung von Coden.","-Begrenztes Codeverständnis: ChatGPT kann bei komplexen Programmieraufgaben unpräzise oder ineffiziente Codeabschnitte generieren.  -Eingeschränktes Debugging: Das Modell bietet begrenzte Unterstützung beim Identifizieren und Beheben von Fehlern im Code.  -Sicherheitsrisiken: Es besteht das Risiko, dass der generierte Code Sicherheitslücken aufweist. Sorgfältige Überprüfung ist notwendig, um Risiken zu minimieren.",
129,1 : None,1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,0,1,0,1,0,0,1,0,,4,3,2,4,4,Erspart langwierige google suche über alle möglichen Aspekte  vielseitig einsetzbar,ungenau  fehlerhaft  ,
130,1 : None,1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,,4,4,1,3,2,"schnell  Scheiß abgaben am Samstag morgen, kann man nicht verkatert machen",Dümmliche Anforderungen für Aussehen werden nicht gut genug übernommen,nein
131,1 : None,2 : No,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,0,1,0,0,1,0,,1,2,2,2,2,hilfreich  schnell   verständlich  ,fehler  versteht nicht alles  teuer  ,
132,3 : Moderate (1-2 Years),2 : No,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,1,0,1,0,,4,2,3,2,3,"Gut für ""Basis"" einer Aufgabe.   Gut für Dokumentation.   Gut, um ersten Überblick über ein Thema zu bekommen.","Teilweise unnötig komplizierter Code.  Teilweise Befehle, die ich nicht kenne (im Code).  Stimmt nicht zuverlässig.",
133,2 : Limited (<1 Year),1 : Yes,5 : Rarely,3 : 30-60 minutes,1 : Web Interface,1,0,0,1,0,1,0,0,,5,4,3,4,4,helps in debugging  helps in coding to a certain point  fast information access,makes mistakes  does not understand the problem or task sometimes    ,fun and easy and useful
134,1 : None,1 : Yes,5 : Rarely,2 : 15-30 minutes,1 : Web Interface,0,0,1,0,0,0,0,0,,3,3,3,3,5,,,
135,1 : None,2 : No,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,0,0,1,0,0,0,0,,3,4,4,4,4,The explanation in every Code is helpful in order to understand  The Codes comes sometimes with commenting that explains   The Code functions sometimes,The Codes May be sometimes false written   I get sometime different answer when I generate the same question   There is sometimes sometimes wrong in the Alphabet writing especailly with Letters t and i,
136,2 : Limited (<1 Year),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,0,0,0,0,,5,4,4,4,4,aufgaben Stellung verstehen  ,sehr viele Fehler  unpräzise antworten   Verällterte Information   ,
137,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,0,1,0,0,0,0,,2,4,2,3,4,"ChatGPT kann einem beim Start helfen, Code verbessern und Erklären was am Code falsch ist und wieso ","ChatGPT ist nicht 100% sicher und kann beim dritten mal fragen eine komplett andere Antwort kriegen, Man muss wissen nach was man sucht um richtig mit ChatGPT arbeiten zu können und die Antworten können von der Frage abweichen",
138,4 : Advanced (3+ Years),1 : Yes,2 : Daily,3 : 30-60 minutes,1 : Web Interface,0,1,1,0,1,0,0,0,"Aussage 2 ist etwas uneindeutig in den unterschiedlichen Sprachen: Ich nutze ChatGPT privat häufig, jedoch selten im akademischen Kontext.",4,3,3,4,3,"1. Insbesondere für einfache Problemstellungen und Begriffsklärungen kann ChatGPT hilfreich sein.  2. Der Vorteil von ChatGPT gegenüber bspw. Google besteht darin, dass man sein Problem viel ausführlicher und deutlicher beschreiben kann und eine verständlichere Antwort erhält.  3. Abseits vom akademischen Kontext kann man mit ChatGPT interessantere und hilfreichere Gespräche führen als mit einigen Menschen.","1. ChatGPT ist mit schwierigeren Problemstellungen schnell überfordert und fängt dann an, inkorrekte Scheinlösungen vorzuschlagen, die es aber so schlüssig erklärt, dass man denken könnte, sie wären richtig (so glaubte es bspw. einmal, einen Beweis dafür gefunden zu haben, dass die Stammfunktion von 1/x NICHT ln|x| + C ist).  2. Insbesondere aufgrund des ersten Punktes würde ich ChatGPT nicht wirklich als Ratgeber für Programmieranfänger empfehlen, da es sehr fehleranfällig und im Kontext schwieriger Probleme nahezu nutzlos ist. Wegen seiner Wissenslücken oder möglicherweise entstehender Missverständnisse sind seine Erklärungen auch häufig didaktisch nicht sonderlich hochwertig.  3. Die KI lässt sich leicht verwirren, wenn der Prompt keinem strikten linearen Aufbau folgt und somit kann es schnell zu Missverständnissen kommen.","Es war eine schöne Erfahrung, aktiv dazu ermutigt zu werden, dieses Hilfsmittel zu nutzen, jedoch habe ich es am Ende dann doch weniger genutzt, als ich gedacht hätte."
139,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,,3,3,3,3,3,Hilfe bei Problemen  gute Erklärungen  oft nützliche Antworten,oft Falsche Antworten  keine Quellen  kurze Antworten,
140,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,0,0,0,1,1,,4,4,3,4,5,"- sehr gut für simple code schnippsel, spart damit zeit  - sehr gut um fremden code zu analysieren  - generiert gute testcases","- bei komplexeren aufgaben teilweise falsch  -  bringt falsche antworten mit überzeugung rüber  - antwortet teilweise nicht genau auf das, was gefragt ist",
141,4 : Advanced (3+ Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,1,1,0,0,1,0,,5,4,4,5,4,-  die Codegenerierung ist meist sehr genau  - sehr umfangreich und vielseitig  - man kann Fragen in allen möglichen Sprachen und auf verschiedene Weise verfassen   z. B: Eine Anweisung kann aus einem Wort schreiben oder aus einem langen Text,- kann schnell zu irreführenden Informationen führen  - bei längeren Anweisung werden nicht immer genaue Antworten ausgegeben,
